1 [4, 8] 71.27000000000001 55 158430 13354
2 [3, 8] 33.40500000000001 60 159260 13383
3 [2, 8] 53.37000000000001 55 159501 13394
4 [4, 8] -10.254999999999999 73 164946 13601
5 [3, 8] -25.754999999999995 113 167783 13715
6 [2, 8] 4.28 85 168787 13759
7 [3, 8] 40.489999999999995 43 171054 13857
8 [4, 8] 40.555 67 171369 13874
9 [2, 8] -62.974999999999994 88 173326 13937
10 [4, 8] 18.380000000000003 64 173473 13947
11 [4, 8] 42.255 56 173529 13948
12 [3, 8] 30.070000000000007 54 173897 13960
13 [4, 8] 42.86 51 174195 13967
14 [3, 8] 25.345 87 174654 13986
15 [4, 8] 37.565 40 175914 14033
16 [2, 8] -80.86000000000003 143 176336 14045
17 [5, 8] 39.08499999999998 80 176824 14067
18 [3, 8] 16.954999999999988 77 177031 14073
19 [5, 8] 47.55 61 177322 14083
20 [4, 8] 14.864999999999995 73 177403 14086
21 [4, 8] 36.999999999999986 49 177917 14096
22 [5, 8] 38.98999999999999 48 178019 14098
23 [5, 8] 27.255 60 178395 14105
24 [5, 8] 45.515 64 178502 14110
25 [3, 8] 49.17 58 178621 14112
26 [5, 8] 59.90000000000001 46 178667 14113
27 [5, 8] 42.97000000000001 55 178893 14124
28 [4, 8] 39.72000000000001 66 179087 14130
29 [2, 8] 1.9500000000000028 79 179257 14136
30 [3, 8] 19.945000000000004 76 179336 14138
31 [3, 8] 11.084999999999983 77 179480 14141
32 [5, 8] 61.14500000000001 54 179692 14152
33 [5, 8] 34.804999999999986 47 179844 14158
34 [5, 8] 47.364999999999995 40 180319 14170
35 [5, 8] 55.925000000000004 46 180384 14173
36 [5, 8] 17.494999999999997 66 180529 14178
37 [5, 8] 31.084999999999997 53 180610 14181
38 [3, 8] 43.40000000000002 61 180734 14184
39 [2, 8] 72.29 56 180790 14185
40 [4, 8] 8.689999999999998 73 180932 14188
41 [5, 8] 65.16000000000003 53 180985 14189
42 [4, 8] 38.629999999999995 41 181281 14202
43 [2, 8] 55.29 54 181345 14205
44 [4, 8] 30.409999999999993 61 181507 14209
45 [2, 8] 56.56500000000001 63 181633 14212
46 [3, 8] 16.459999999999997 78 181711 14213
47 [0, 8] -41.55000000000001 83 181803 14215
48 [4, 8] 7.1699999999999955 61 181864 14216
49 [5, 8] 29.014999999999997 54 182167 14233
50 [4, 8] 5.070000000000004 62 182493 14246
51 [2, 8] -37.68000000000001 67 182605 14252
52 [4, 8] 47.87 48 182722 14257
53 [5, 8] 62.38999999999999 57 182815 14259
54 [4, 8] -24.92499999999996 91 183360 14277
55 [4, 8] 28.434999999999995 66 183578 14282
56 [5, 8] 78.175 54 183730 14288
57 [4, 8] 17.935 53 183932 14297
58 [0, 8] -17.779999999999998 56 183988 14298
59 [5, 8] 71.805 42 184573 14318
60 [3, 8] 54.135000000000005 55 184746 14324
61 [5, 8] 50.395 59 184967 14335
62 [5, 8] 13.965000000000005 83 185243 14340
63 [4, 8] 17.469999999999995 61 185570 14345
64 [3, 8] 46.205000000000005 54 185682 14349
65 [5, 8] 6.570000000000004 48 186146 14360
66 [3, 8] 39.934999999999995 56 186652 14377
67 [4, 8] 30.704999999999995 74 186896 14387
68 [5, 8] 62.255 54 187029 14392
69 [4, 8] 28.349999999999998 59 187147 14396
70 [5, 8] 47.815000000000005 45 187340 14405
71 [5, 8] 61.40500000000001 57 187630 14416
72 [2, 8] 29.454999999999988 72 188051 14429
73 [4, 8] 64.31 57 188207 14437
74 [5, 8] 68.155 50 188340 14441
75 [4, 8] 54.74500000000001 67 188426 14445
76 [4, 8] 13.569999999999993 67 188735 14452
77 [5, 8] 20.27000000000001 61 189434 14475
78 [5, 8] 54.25 54 189964 14493
79 [2, 8] 43.615 70 190125 14497
80 [3, 8] 43.09500000000002 60 190245 14501
81 [0, 5] 15.610000000000003 49 190328 14506
82 [5, 8] 12.220000000000002 62 190605 14516
83 [4, 8] 25.099999999999998 51 190705 14519
84 [5, 8] 45.34 54 191014 14533
85 [4, 8] 36.64 68 191106 14535
86 [5, 8] 18.230000000000004 57 191213 14537
87 [4, 8] 52.13000000000001 53 191444 14545
88 [4, 8] 62.47 59 191584 14552
89 [5, 8] 23.895 49 191869 14564
90 [5, 8] 69.30000000000001 59 191928 14565
91 [5, 8] 37.58999999999999 64 192130 14571
92 [0, 6] -37.86500000000001 92 192222 14572
93 [4, 8] 50.390000000000015 60 192282 14573
94 [4, 8] 20.335000000000015 59 192525 14581
95 [5, 8] 31.605 52 192577 14582
96 [5, 8] 80.05499999999999 46 192701 14584
97 [5, 8] 45.065 52 192783 14587
98 [4, 8] 68.88000000000001 44 192925 14593
99 [5, 8] 39.975 50 192975 14594
100 [4, 8] 75.15499999999999 52 193349 14605
101 [2, 8] 29.179999999999993 60 193520 14611
102 [5, 8] 27.08499999999999 55 193613 14617
103 [5, 8] 33.379999999999995 61 193786 14621
104 [5, 8] 17.485 66 193890 14626
105 [5, 8] 55.975 49 193939 14627
106 [5, 8] 23.259999999999994 58 194101 14630
107 [5, 8] 41.66 41 194147 14632
108 [5, 8] 41.644999999999996 41 194211 14636
109 [2, 8] 60.32000000000001 61 194805 14655
110 [3, 8] 36.959999999999994 55 194870 14657
111 [5, 8] 21.554999999999986 63 194933 14658
112 [2, 8] 52.24 54 195114 14662
113 [5, 8] 68.03 49 195271 14668
114 [3, 8] 53.525000000000006 63 195379 14672
